Status,Vendor No.,Vendor,System,Division,Total Spend,Invoices,Open Balance,Avg Day to Pay,% Late,Avg Days Paid Late,Avg Invoice Value,Added On,Vendor Group,Telephone,Tax ID,Email
Active,1000000245,Preston-James,SAP-P49-WF,"Marelli Japan, Marelli Poland",998588.89,124,-349089.81,42.0,59.41,21.0,12640.37,2023-05-06,,572-725-6996x1125,5389059149,denise49@example.net
Inactive,1000000246,Nelson-Wallace,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2022-05-13,,(598)476-2202x341,3524751523,egarcia@example.com
Active,1000000247,"Brown, Wise and Warren","SAP-P49, SAP-P49-WF",,999427.3,347,-85131.71,61.0,27.34,30.0,2589.19,2022-10-31,,514-692-1643,3848792735,isims@example.net
Inactive,1000000248,Johnson Ltd,SAP-P49,"Marelli Italy, Marelli Japan, Marelli Germany, Marelli EPT Cologne, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-07-27,,(957)878-4872x829,4149484424,regina78@example.org
Active,1000000249,Ramos LLC,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Japan, Marelli Germany, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2022-11-23,,(942)640-0825x47807,8250606308,cannonlauren@example.net
Inactive,1000000250,Robles PLC,SAP-P49-WF,"Marelli Japan, Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2021-03-22,,(336)886-6326x634,2494287712,zacharymarsh@example.net
Active,1000000251,"Cohen, Mitchell and Paul","SAP-P49, SAP-P49-WF",,1006189.08,477,502810.47,41.0,99.66,16.0,11179.88,2024-01-25,,963-512-2417x974,2687777884,andrew08@example.org
Inactive,1000000252,Compton LLC,SAP-P49,,1007581.17,323,448137.57,33.0,84.96,5.0,3071.89,2024-08-28,,627-903-1207x356,3856003599,steven05@example.org
Active,1000000253,Brown Group,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Germany, Marelli Italy, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-12-01,,587-823-4601,6563676799,cwright@example.org
Active,1000000254,Moss-Davis,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Poland, Marelli EPT Cologne, Marelli Italy",0.0,0,-0.0,,,,0.0,2024-07-21,,+1-537-764-5208x81474,7641027958,boyerjeff@example.org
Inactive,1000000255,Chen LLC,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Italy, Marelli Germany",0.0,0,-0.0,,,,0.0,2024-09-30,,9244916300,7572483362,kelli32@example.com
Active,1000000256,Parks LLC,"SAP-P49, SAP-P49-WF",Marelli Germany,1001562.29,157,454760.39,24.0,60.62,5.0,5216.47,2024-11-10,,001-500-252-8127x35857,6902097882,ihoward@example.com
Active,1000000257,Washington Group,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Italy",0.0,0,-0.0,,,,0.0,2024-08-03,,+1-748-973-9285,7039005353,mikayla98@example.org
Inactive,1000000258,Schmidt Group,SAP-P49,"Marelli Italy, Marelli PWT Slovakia, Marelli Poland, Marelli Japan",0.0,0,0.0,,,,0.0,2021-09-26,,548-757-0862x0959,7133038018,barrettamber@example.com
Inactive,1000000259,Warren Group,SAP-P49-WF,"Marelli Japan, Marelli EPT Cologne, Marelli Italy, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2024-02-21,,001-482-294-5651x18102,6427513267,daniellee@example.org
Inactive,1000000260,"May, Price and Burns",SAP-P49,"Marelli Poland, Marelli Germany, Marelli EPT Cologne, Marelli Japan, Marelli Italy",995860.53,282,170862.97,75.0,52.03,3.0,3387.28,2021-08-11,,+1-994-205-3910x371,7445541645,angela65@example.net
Inactive,1000000261,Colon LLC,"SAP-P49, SAP-P49-WF",,998480.68,22,271904.65,66.0,52.02,17.0,8915.01,2023-05-10,,501.441.3811x38633,6734842818,xreese@example.net
Active,1000000262,"Howard, Ellis and Ortega",SAP-P49-WF,,1000849.86,17,60989.76,67.0,87.67,8.0,5591.34,2021-06-17,,922-786-8528,8180758415,andrea55@example.com
Active,1000000263,"Jordan, Swanson and Franklin",SAP-P49,,1005766.23,302,-97073.67,54.0,13.4,27.0,2763.09,2024-05-23,,001-883-268-4577,4717729422,birdcaitlin@example.net
Active,1000000264,Holder LLC,SAP-P49,,0.0,0,-0.0,,,,0.0,2021-04-21,,4433350488,4448450949,stevenseric@example.com
Active,1000000265,Preston-Wright,SAP-P49-WF,,1003226.88,150,204738.31,47.0,21.3,18.0,7322.82,2023-11-09,,341-696-9315x727,2408989233,crossbarbara@example.org
Inactive,1000000266,Weeks LLC,SAP-P49,,1006843.16,444,-366116.89,26.0,1.45,22.0,2267.66,2021-09-18,,(766)413-9060x480,3072355860,wayne32@example.org
Active,1000000267,"Dennis, Long and Griffin","SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Poland",1005292.12,322,-108326.21,63.0,43.75,12.0,4333.16,2021-05-24,,+1-998-213-6462x251,2399839332,zbaker@example.net
Inactive,1000000268,Ayala-Anderson,"SAP-P49, SAP-P49-WF",,991206.3,189,400604.64,68.0,34.83,30.0,3964.83,2022-10-22,,(578)537-6938,4499480316,adamsrussell@example.net
Active,1000000269,"Davis, Powers and Henderson","SAP-P49, SAP-P49-WF",,1007511.79,326,-104234.37,55.0,62.21,27.0,30530.66,2023-12-20,,(435)959-0425x979,3708176932,glassjesus@example.net
Active,1000000270,Moore-Chandler,SAP-P49-WF,"Marelli Poland, Marelli Italy, Marelli Germany",1000370.47,290,362497.95,72.0,94.95,25.0,5683.92,2024-10-18,,310-639-2405,5273856372,vruiz@example.org
Inactive,1000000271,"Medina, Harris and Mills",SAP-P49,"Marelli EPT Cologne, Marelli Japan",0.0,0,-0.0,,,,0.0,2023-05-16,,287-692-0698x042,7163917629,kristinawilliamson@example.org
Active,1000000272,Pena-Smith,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Poland, Marelli Italy",999926.41,43,-241737.82,57.0,45.91,21.0,2159.67,2024-08-10,,(345)410-4636x8157,2710925096,vincentellis@example.net
Inactive,1000000273,Williams PLC,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2021-07-03,,257-662-0555x4384,2004665930,bzamora@example.net
Active,1000000274,Perez-Peterson,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Italy, Marelli Poland, Marelli Germany, Marelli Japan",0.0,0,-0.0,,,,0.0,2023-05-04,,(721)968-9363x9264,4980840735,jamietaylor@example.net
Active,1000000275,"Mcbride, Huffman and Parker",SAP-P49-WF,Marelli PWT Slovakia,0.0,0,-0.0,,,,0.0,2023-01-12,,001-482-762-9251x881,5783819202,jessicacannon@example.com
Active,1000000276,Turner-Reese,"SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2021-05-10,,+1-542-531-2209x9499,8573483281,gracehoward@example.net
Active,1000000277,Anderson-Mathis,SAP-P49-WF,"Marelli Japan, Marelli Germany",0.0,0,-0.0,,,,0.0,2023-04-13,,652.867.7223x3060,8194991798,juliamcneil@example.org
Active,1000000278,Thompson Group,SAP-P49,,0.0,0,-0.0,,,,0.0,2023-02-15,,+1-275-373-6609x656,7804801641,cbryant@example.org
Active,1000000279,"Medina, Terrell and Williams",SAP-P49,Marelli Germany,0.0,0,-0.0,,,,0.0,2024-05-04,,(280)434-7644x7264,4609592773,cgallegos@example.org
Active,1000000280,"Mason, White and Richards","SAP-P49, SAP-P49-WF",,1003982.03,106,-373435.29,76.0,15.19,19.0,3846.67,2022-01-11,,001-982-366-5702x793,5211964266,mario21@example.org
Active,1000000281,Mccarthy Ltd,SAP-P49,Marelli Germany,0.0,0,-0.0,,,,0.0,2024-07-19,,(718)468-9268x602,4550909239,mistywhite@example.net
Active,1000000282,Barnes LLC,SAP-P49-WF,,994493.74,68,-153482.92,59.0,89.68,27.0,2312.78,2024-02-28,,001-974-221-2309x4077,3807595401,lyoung@example.net
Active,1000000283,Chavez-Ramos,SAP-P49-WF,,1002438.37,395,-26101.85,19.0,66.76,0.0,3330.36,2021-05-08,,+1-290-738-4983x022,2059242600,thomasantonio@example.net
Active,1000000284,"Evans, Knapp and Williams",SAP-P49-WF,"Marelli Japan, Marelli Italy, Marelli EPT Cologne, Marelli Germany, Marelli Poland, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2023-12-24,,(622)749-9982x79501,8604179757,priscilla16@example.net
Active,1000000285,Carter and Sons,SAP-P49-WF,"Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2023-03-01,,245-386-8339,4762328147,webbhaley@example.net
Inactive,1000000286,Simmons-Abbott,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2021-04-18,,489-595-2997x877,3050032856,tiffany01@example.org
Active,1000000287,Garrett-Wilson,SAP-P49-WF,Marelli Poland,997348.71,342,-322133.18,32.0,8.87,3.0,142478.39,2024-12-09,,296.560.5583,6884287764,jonathan14@example.com
Inactive,1000000288,"Pierce, Wang and Wilson",SAP-P49-WF,"Marelli Poland, Marelli Germany, Marelli Japan, Marelli PWT Slovakia, Marelli Italy, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2021-02-19,,956-499-0235x57702,7733828979,imcclain@example.com
Active,1000000289,Bowers-Gutierrez,SAP-P49-WF,,0.0,0,-0.0,,,,0.0,2024-06-28,,001-308-449-5880x3955,2331013554,mary56@example.net
Inactive,1000000290,"Kirby, Duncan and Price",SAP-P49,"Marelli Germany, Marelli Poland, Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2024-03-10,,+1-614-550-4617x357,2495354349,gregory50@example.org
Active,1000000291,Wallace Inc,SAP-P49,,996035.64,7,-135192.06,41.0,50.34,1.0,4115.85,2023-01-05,,582.235.7845x2182,7939851899,hhughes@example.org
Active,1000000292,Collins Inc,"SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2024-08-24,,+1-591-557-0184x09435,3801177753,joshua57@example.net
Inactive,1000000293,Nelson and Sons,"SAP-P49, SAP-P49-WF",Marelli Italy,0.0,0,-0.0,,,,0.0,2021-08-22,,610-498-8138x585,8451217004,audrey21@example.com
Active,1000000294,"Mcclain, Fernandez and Williams",SAP-P49,,1002572.94,24,-419317.08,61.0,87.36,2.0,2227.94,2023-07-31,,4709160166,5719580418,larry38@example.org
Inactive,1000000295,Bradley-Davis,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Poland, Marelli Germany, Marelli EPT Cologne",1006023.18,289,423407.39,48.0,6.11,23.0,3153.68,2022-05-01,,001-771-874-7733x294,3992550249,hollyortega@example.com
Inactive,1000000296,Freeman-Jones,SAP-P49,,1004256.77,280,249316.47,41.0,18.45,4.0,251064.19,2023-04-09,,457-372-4599,2102694077,yroth@example.org
Active,1000000297,Hawkins-Jones,SAP-P49-WF,"Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia, Marelli Japan, Marelli Italy, Marelli Germany",996898.18,252,-289749.13,17.0,37.05,4.0,2731.23,2022-07-17,,387-769-6393x8276,2399546681,lisagarza@example.com
Inactive,1000000298,"Cobb, Stephens and Young","SAP-P49, SAP-P49-WF",,1011870.71,235,-132642.45,20.0,46.25,18.0,20650.42,2023-10-22,,+1-819-371-9975x81724,6868405198,jenningscandace@example.com
Active,1000000299,Snyder-Keller,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Germany, Marelli Italy, Marelli EPT Cologne",998446.38,134,247086.46,50.0,3.67,29.0,2429.31,2023-03-05,,632-890-2278,5158316837,rgonzalez@example.com
Inactive,1000000300,Hudson-Gentry,SAP-P49,"Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2021-11-04,,265-219-0986x2405,2453796887,daniel40@example.org
Inactive,1000000301,Park-Long,SAP-P49-WF,"Marelli Germany, Marelli EPT Cologne, Marelli Poland",0.0,0,0.0,,,,0.0,2022-06-16,,866-466-8327x23865,5661383415,whitney22@example.org
Inactive,1000000302,Wong and Sons,"SAP-P49, SAP-P49-WF",Marelli Germany,0.0,0,0.0,,,,0.0,2022-10-23,,001-876-921-2679x6927,2637046178,lkelly@example.com
Inactive,1000000303,"Smith, Jimenez and Simon",SAP-P49-WF,"Marelli Poland, Marelli Japan, Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Italy",1015394.4,285,-398875.34,80.0,44.74,7.0,20722.33,2023-07-25,,001-384-968-9500x975,6732656315,thomasjessica@example.com
Active,1000000304,Black-Mills,SAP-P49,"Marelli Germany, Marelli Japan",1005597.87,422,32799.85,61.0,24.25,11.0,2856.81,2024-07-03,,+1-213-971-8949x058,6655914185,ehunt@example.net
Active,1000000305,"Rivera, Gomez and Levine",SAP-P49,,996218.25,102,-478113.83,66.0,32.21,25.0,15094.22,2021-06-27,,242-609-4940x7929,3423996258,mitchellchristopher@example.net
Inactive,1000000306,York LLC,SAP-P49,"Marelli EPT Cologne, Marelli Japan, Marelli Italy, Marelli PWT Slovakia, Marelli Germany",0.0,0,-0.0,,,,0.0,2023-05-13,,929-744-4019x292,2742201620,josehaynes@example.com
Active,1000000307,Lloyd Inc,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Italy",0.0,0,-0.0,,,,0.0,2024-06-06,,212-692-7663x72395,7350605181,williamssteven@example.com
Inactive,1000000308,Alvarez-Vaughan,"SAP-P49, SAP-P49-WF",Marelli Poland,0.0,0,-0.0,,,,0.0,2021-09-28,,+1-236-667-4286,3800600176,ureyes@example.net
Active,1000000309,"Blanchard, Davis and Schmidt","SAP-P49, SAP-P49-WF",,992888.73,279,387750.14,12.0,59.36,12.0,2476.03,2024-12-20,,(569)545-4414x967,3542375077,erica25@example.net
Inactive,1000000310,Chambers Inc,SAP-P49-WF,,1005276.65,258,-1566.02,51.0,8.69,12.0,7232.21,2021-12-24,,6615817534,2111939910,johnsonchristopher@example.net
Active,1000000311,"Shannon, Robinson and Greene",SAP-P49-WF,"Marelli Italy, Marelli Poland, Marelli Germany, Marelli PWT Slovakia",1003268.17,52,37227.81,41.0,58.68,21.0,8090.87,2022-06-19,,411-692-6921,8587146814,steven17@example.com
Active,1000000312,Schwartz-Contreras,SAP-P49,"Marelli Poland, Marelli Germany, Marelli Italy, Marelli PWT Slovakia",997797.48,304,-371599.44,50.0,28.38,25.0,2639.68,2024-11-18,,001-954-321-4066x50442,7835929409,mkrause@example.net
Inactive,1000000313,White-Vasquez,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia, Marelli Japan",1007910.19,20,-138000.75,21.0,64.59,1.0,8399.25,2024-05-06,,(286)339-1741,2939777575,duncanjohn@example.com
Active,1000000314,Mosley and Sons,SAP-P49-WF,,990431.11,104,481859.84,26.0,60.58,10.0,2691.39,2021-12-19,,+1-800-864-2569x0877,3389803699,fernandezaaron@example.net
Active,1000000315,Martinez-Nichols,SAP-P49,,0.0,0,-0.0,,,,0.0,2023-01-07,,(554)460-1585x174,6125568746,poncedonna@example.com
Inactive,1000000316,"Price, Rodriguez and Barker","SAP-P49, SAP-P49-WF","Marelli Poland, Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2023-06-03,,617.932.0309x3761,6126012606,blevy@example.org
Active,1000000317,Brown-French,"SAP-P49, SAP-P49-WF",,1004706.42,356,-348774.65,88.0,24.6,25.0,5490.2,2022-03-23,,5613387829,5498054645,mosstracy@example.org
Inactive,1000000318,Meadows-Montgomery,SAP-P49,Marelli Japan,0.0,0,-0.0,,,,0.0,2024-03-08,,420.320.4179,7976882924,wilsonbrooke@example.net
Active,1000000319,Brown and Sons,SAP-P49,"Marelli Germany, Marelli Italy, Marelli PWT Slovakia, Marelli Japan, Marelli EPT Cologne",997038.03,170,-325658.95,19.0,89.68,7.0,5601.34,2022-10-06,,(356)351-9825x30925,7016038586,donald62@example.net
Active,1000000320,Tran-Gonzales,"SAP-P49, SAP-P49-WF","Marelli Poland, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Germany, Marelli Italy, Marelli Japan",995680.05,355,-417952.89,18.0,52.45,11.0,7543.03,2021-07-30,,001-302-219-6207,5094153131,whitechristopher@example.net
Inactive,1000000321,"Eaton, Butler and Aguirre","SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Japan",0.0,0,-0.0,,,,0.0,2023-02-04,,001-472-932-4876x32909,7803494007,burtonkimberly@example.com
Inactive,1000000322,Smith-Young,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Poland, Marelli Italy",0.0,0,0.0,,,,0.0,2022-10-04,,581-695-8837,7416502576,leelaura@example.net
Inactive,1000000323,Jimenez-Moore,SAP-P49,,0.0,0,-0.0,,,,0.0,2021-05-23,,9052436459,8644513405,yangsara@example.org
Active,1000000324,Floyd Group,SAP-P49-WF,"Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Japan, Marelli Poland, Marelli Italy",1001951.27,311,366220.33,65.0,81.71,5.0,35783.97,2021-07-16,,511.337.9956x35315,3422040736,joankane@example.com
Inactive,1000000325,Jones PLC,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Poland, Marelli Japan, Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne",999575.46,26,-241994.39,60.0,17.09,18.0,3544.59,2023-09-22,,706.623.9726x5273,2659664075,matthewjohnson@example.net
Inactive,1000000326,Ramirez Inc,SAP-P49,"Marelli Japan, Marelli Italy, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Poland, Marelli Germany",0.0,0,0.0,,,,0.0,2021-12-05,,576.325.3492x929,4741008327,fvincent@example.org
Inactive,1000000327,"Wells, Ford and Smith",SAP-P49,"Marelli EPT Cologne, Marelli Japan, Marelli Poland, Marelli PWT Slovakia",1000496.66,329,71648.26,79.0,28.0,12.0,10531.54,2023-01-19,,(933)256-9392x90600,5803162480,eschmidt@example.net
Inactive,1000000328,Chavez and Sons,SAP-P49,"Marelli Poland, Marelli Germany, Marelli Japan, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2021-10-26,,380-263-2543,4866755546,kcaldwell@example.net
Inactive,1000000329,Hodge-Burgess,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Italy, Marelli PWT Slovakia, Marelli Japan, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-12-22,,3778262570,6021642064,alyssa46@example.com
Active,1000000330,"Shah, Daniels and Norton",SAP-P49-WF,"Marelli Japan, Marelli PWT Slovakia, Marelli Germany, Marelli Italy",1003756.94,487,-176983.19,67.0,42.54,5.0,2065.34,2021-11-28,,+1-719-750-8501x65790,6175416708,deborahbush@example.net
Active,1000000331,"Ayala, Taylor and Rogers",SAP-P49,"Marelli EPT Cologne, Marelli Germany, Marelli Italy, Marelli Poland, Marelli Japan, Marelli PWT Slovakia",991862.29,467,-382028.83,18.0,61.06,2.0,4984.23,2024-02-03,,+1-817-693-3554,8001594335,brownmichael@example.com
Inactive,1000000332,"Rose, Martinez and Mckinney","SAP-P49, SAP-P49-WF",Marelli Japan,0.0,0,-0.0,,,,0.0,2024-04-07,,+1-384-379-5137x11624,8539354379,joshuaterry@example.com
Inactive,1000000333,Golden PLC,SAP-P49,"Marelli Italy, Marelli PWT Slovakia, Marelli Japan, Marelli Poland, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2022-07-29,,+1-304-268-2756x7043,5780154738,marystone@example.com
Inactive,1000000334,Lane-Rios,SAP-P49-WF,"Marelli Italy, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Japan, Marelli Germany",1000240.42,207,-345720.38,28.0,48.11,19.0,3205.9,2024-10-15,,979-788-7749x24243,4979252742,kayla02@example.com
Inactive,1000000335,Bryant-Jackson,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Poland, Marelli Italy, Marelli PWT Slovakia, Marelli Germany, Marelli Japan",0.0,0,0.0,,,,0.0,2022-07-18,,(284)722-2231,5619998780,scottwood@example.org
Active,1000000336,"Mann, Wade and Spence",SAP-P49,"Marelli EPT Cologne, Marelli Poland, Marelli Italy, Marelli Japan, Marelli Germany, Marelli PWT Slovakia",999257.24,97,-365313.78,66.0,6.34,6.0,2135.17,2023-04-03,,(857)982-8410,5182334031,staciereilly@example.org
Inactive,1000000337,Cordova PLC,SAP-P49,"Marelli PWT Slovakia, Marelli Poland",997962.7,364,488962.04,74.0,32.24,12.0,14256.61,2023-11-29,,354.674.9297x51702,2124331732,moralesmary@example.com
Active,1000000338,Davis-Brown,SAP-P49,"Marelli PWT Slovakia, Marelli Poland, Marelli Germany, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2023-07-29,,+1-839-583-4301x8718,4169501609,mstewart@example.net
Active,1000000339,Kerr LLC,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Italy, Marelli Japan",1004178.46,91,261315.21,70.0,59.56,18.0,3548.33,2022-12-07,,(326)556-5045x5478,3478538565,afigueroa@example.com
Inactive,1000000340,Martin-Luna,"SAP-P49, SAP-P49-WF",,994351.47,47,-28263.26,46.0,41.18,0.0,5021.98,2021-04-01,,(862)399-1234x78519,6994649605,ortizrobin@example.com
Active,1000000341,Peters Ltd,SAP-P49,"Marelli Germany, Marelli Poland, Marelli EPT Cologne, Marelli Italy, Marelli PWT Slovakia, Marelli Japan",1002885.36,243,331573.36,26.0,96.5,20.0,11268.37,2024-05-05,,001-623-626-4870,5439688503,dhansen@example.org
Inactive,1000000342,Moody and Sons,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2022-07-07,,947-314-6273x014,8115203970,bianca96@example.com
Inactive,1000000343,"Jennings, Mccann and Cardenas",SAP-P49-WF,"Marelli Poland, Marelli Italy, Marelli EPT Cologne, Marelli Japan",0.0,0,0.0,,,,0.0,2021-01-05,,(789)404-2902x572,8491902299,nelsonrobert@example.com
Inactive,1000000344,Roberts PLC,"SAP-P49, SAP-P49-WF","Marelli Poland, Marelli Japan, Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne",998984.77,173,437895.44,45.0,18.12,20.0,5981.94,2022-07-11,,+1-718-332-1928x5544,7416585057,madeline02@example.net
Inactive,1000000345,Watson-Washington,SAP-P49,"Marelli PWT Slovakia, Marelli Italy",1000432.95,207,74505.36,50.0,84.18,21.0,13894.9,2021-02-11,,821-932-8338x98881,4814924349,wilsondavid@example.org
Inactive,1000000346,Bailey-Vazquez,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Japan, Marelli Poland",999221.61,465,-359947.23,55.0,79.53,16.0,6488.45,2021-12-04,,(579)485-2401,2777972932,haileyparker@example.org
Active,1000000347,Zavala Group,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Japan",0.0,0,-0.0,,,,0.0,2022-09-10,,001-211-907-6031x089,8100883558,kerrbradley@example.com
Inactive,1000000348,"Smith, Davis and Martinez",SAP-P49-WF,"Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Japan, Marelli Poland",998407.61,299,314073.79,84.0,66.52,30.0,3139.65,2021-05-15,,+1-739-432-5012x495,8323135731,williamjones@example.net
Active,1000000349,Rice Ltd,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Germany",0.0,0,0.0,,,,0.0,2022-02-04,,742.480.1387,3471756301,gnunez@example.org
Inactive,1000000350,Zavala-Coleman,SAP-P49,"Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Japan, Marelli Italy, Marelli Poland",998404.71,325,-140944.31,17.0,87.72,0.0,4303.47,2022-07-04,,236.315.1718x27548,7194258065,tristan64@example.com
Active,1000000351,"Fitzgerald, Mcdaniel and Randall",SAP-P49-WF,,1006006.07,400,-61230.65,21.0,37.69,4.0,3193.67,2023-05-28,,486.246.3175,4720808622,zpowers@example.com
Inactive,1000000352,"Barrett, Miller and Thomas",SAP-P49-WF,"Marelli Germany, Marelli Poland, Marelli PWT Slovakia, Marelli Japan, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-10-06,,(891)921-5353x9613,6312679365,kathy99@example.com
Active,1000000353,"Harding, Kelly and Estrada","SAP-P49, SAP-P49-WF",,997959.62,160,-198216.86,26.0,74.76,3.0,5065.78,2023-10-17,,(278)342-7114x7732,4528321707,greertyrone@example.org
Active,1000000354,Reyes Ltd,SAP-P49-WF,,0.0,0,0.0,,,,0.0,2023-11-21,,624-799-1187x73477,3450991270,cisnerosanthony@example.com
Active,1000000355,Reyes LLC,SAP-P49-WF,,1001634.64,251,-116298.57,55.0,54.36,24.0,10326.13,2021-11-23,,(877)900-2842x7624,3732554295,carrolltracy@example.net
Active,1000000356,"Ryan, Harrison and Hart",SAP-P49,,0.0,0,0.0,,,,0.0,2023-10-20,,(780)664-7969,2725784314,bryan90@example.org
Active,1000000357,Bailey-Harmon,SAP-P49-WF,,0.0,0,0.0,,,,0.0,2023-12-21,,2565165565,4676343874,jimmycollins@example.org
Active,1000000358,"Jones, Torres and Morgan","SAP-P49, SAP-P49-WF",Marelli PWT Slovakia,998904.5,354,-382682.27,24.0,93.98,13.0,4381.16,2023-02-07,,6852076986,6825804421,uchapman@example.com
Active,1000000359,"Myers, Armstrong and Stokes",SAP-P49,"Marelli PWT Slovakia, Marelli Poland, Marelli EPT Cologne, Marelli Italy, Marelli Japan, Marelli Germany",0.0,0,0.0,,,,0.0,2024-05-14,,735-878-5294,5009597116,tylerboone@example.org
Active,1000000360,"Lewis, Baker and Evans","SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2022-07-22,,001-663-391-9195,6784647826,wsimmons@example.org
Active,1000000361,"Colon, Wagner and Evans","SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Germany, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-04-09,,+1-485-936-6498x78208,3268524125,donnaholloway@example.com
Inactive,1000000362,Giles-Patel,SAP-P49,"Marelli Poland, Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2021-06-21,,+1-869-808-3572x324,5895020497,michelle13@example.com
Inactive,1000000363,Colon-Lucas,SAP-P49,,1003163.91,400,395138.82,75.0,78.86,2.0,2703.95,2021-07-16,,993-863-1230x347,5885998248,clucas@example.org
Inactive,1000000364,Nelson Inc,SAP-P49-WF,Marelli PWT Slovakia,1011353.46,417,-352279.82,32.0,31.17,27.0,48159.69,2022-08-08,,348-820-7001x594,7842077861,emily16@example.net
Inactive,1000000365,Young PLC,"SAP-P49, SAP-P49-WF",Marelli PWT Slovakia,1004151.68,437,-468404.19,27.0,56.99,21.0,3024.55,2021-12-05,,001-781-889-8471x3915,3411587883,selenarobinson@example.org
Inactive,1000000366,Lewis LLC,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne",995719.58,205,261335.25,68.0,87.68,8.0,2326.45,2023-02-18,,964.590.7851x586,8349014334,natasha25@example.com
Active,1000000367,"Richardson, Parker and Brewer",SAP-P49,"Marelli PWT Slovakia, Marelli Germany, Marelli Japan, Marelli Italy, Marelli Poland, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-05-25,,+1-900-834-8645x183,7925984818,browningphillip@example.com
Active,1000000368,Davis-Carson,"SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2021-09-14,,343.927.5604,8369778970,vmclaughlin@example.net
