Internal Reference,Payment Date,Invoice Number,Posting Date,Supplier Name,Supplier Reference,Gross Amount,Invoice Date,Currency Code,VAT Amount,Due Date,Debit/Credit,Is Anomaly
10056737,2022-03-17,IN99031,2022-03-14,Yellow Yard Services,V_YELLOW001,4879.85,2022-03-10,GBP,394.53,2022-04-09,,False
10056486,,IN30567,2023-04-13,Yellow Yard Services,V_YELLOW001,21998.44,2023-04-11,CAD,1674.32,2023-05-11,,True
10083997,2023-10-30,IN27015,2023-10-27,Red Roofing Solutions,V_RED001,4849.77,2023-10-26,EUR,469.45,2023-11-25,,False
10027387,2022-09-11,IN37042,2022-09-08,Red Roofing Solutions,V_RED001,4340.06,2022-09-06,USD,582.45,2022-10-06,Dr,False
10044397,2022-10-31,IN68671,2022-10-30,Yellow Yard Services,V_YELLOW001,4630.54,2022-10-26,GBP,604.67,2022-11-25,Cr,False
10087984,2022-07-12,IN69792,2022-07-03,Purple Plumbers Limited,V_PURPLE001,4875.98,2022-07-02,EUR,481.74,2022-08-01,Dr,False
10041416,2022-03-13,IN52012,2022-03-11,Purple Plumbers Limited,V_PURPLE001,5955.75,2022-03-10,USD,299.27,2022-04-09,,False
10028381,,IN46455,2022-01-26,Orange Office Supplies,V_ORANGE001,12098.74,2022-01-23,CAD,2008.03,2022-02-22,,True
10062921,2023-02-08,IN59726,2023-02-06,Orange Office Supplies,V_ORANGE001,18423.65,2023-02-04,EUR,2379.48,2023-03-06,,True
10080268,2022-05-16,IN74952,2022-05-14,Purple Plumbers Limited,V_PURPLE001,5533.5,2022-05-12,GBP,528.74,2022-06-11,,False
10046370,,IN15062,2022-01-31,Red Roofing Solutions,V_RED001,5133.06,2022-01-29,EUR,534.73,2022-02-28,Cr,False
10025339,2023-09-09,IN13491,2023-09-05,Green Grocers Co.,V_GREEN001,5384.33,2023-09-02,GBP,572.52,2023-10-02,Cr,False
10076267,2022-08-29,IN10799,2022-08-21,Yellow Yard Services,V_YELLOW001,4659.27,2022-08-20,CAD,643.61,2022-09-19,Cr,False
10067602,2022-12-15,IN35523,2022-12-14,Yellow Yard Services,V_YELLOW001,4490.93,2022-12-12,GBP,477.81,2023-01-11,,False
10086153,2022-06-02,IN85388,2022-05-24,Green Grocers Co.,V_GREEN001,21237.49,2022-05-21,EUR,3125.23,2022-06-20,Cr,True
10097695,2022-06-05,IN79385,2022-06-01,Red Roofing Solutions,V_RED001,3488.48,2022-05-29,USD,499.82,2022-06-28,Dr,False
10018802,,IN83843,2023-01-19,Green Grocers Co.,V_GREEN001,6913.09,2023-01-18,EUR,477.24,2023-02-17,Cr,False
10046427,2023-03-12,IN41368,2023-03-11,Green Grocers Co.,V_GREEN001,4106.09,2023-03-10,CAD,489.11,2023-04-09,,False
10038699,2022-12-13,IN83686,2022-12-05,Yellow Yard Services,V_YELLOW001,20890.64,2022-12-03,EUR,2017.82,2023-01-02,,True
10026082,2023-11-22,IN10661,2023-11-20,Red Roofing Solutions,V_RED001,19069.72,2023-11-16,USD,2521.38,2023-12-16,,True
10043586,2022-06-19,IN20360,2022-06-18,Yellow Yard Services,V_YELLOW001,2024.0,2022-06-14,USD,493.17,2022-07-14,Cr,False
10099670,2023-07-04,IN98738,2023-06-27,Orange Office Supplies,V_ORANGE001,3796.7,2023-06-25,USD,327.93,2023-07-25,Dr,False
10084099,2023-04-14,IN66799,2023-04-08,Red Roofing Solutions,V_RED001,6306.12,2023-04-05,EUR,642.32,2023-05-05,,False
10070128,2023-05-16,IN98056,2023-05-12,Red Roofing Solutions,V_RED001,6589.22,2023-05-08,EUR,576.87,2023-06-07,,False
10019505,2023-08-29,IN12105,2023-08-22,Red Roofing Solutions,V_RED001,3479.95,2023-08-18,USD,224.67,2023-09-17,Cr,False
10034306,2023-08-19,IN29086,2023-08-18,Red Roofing Solutions,V_RED001,4683.3,2023-08-17,USD,351.92,2023-09-16,,False
10033446,2023-12-18,IN48108,2023-12-12,Red Roofing Solutions,V_RED001,5852.41,2023-12-10,CAD,662.96,2024-01-09,Dr,False
10031390,,IN30369,2023-09-17,Green Grocers Co.,V_GREEN001,3744.95,2023-09-13,EUR,590.71,2023-10-13,,False
10030700,2023-07-09,IN49464,2023-07-07,Blue Builders Inc.,V_BLUE001,7116.58,2023-07-06,CAD,439.19,2023-08-05,,False
10045233,2023-07-17,IN26304,2023-07-08,Orange Office Supplies,V_ORANGE001,3530.36,2023-07-04,EUR,440.57,2023-08-03,Cr,False
10010306,2022-02-02,IN98495,2022-01-28,Orange Office Supplies,V_ORANGE001,5889.3,2022-01-24,CAD,697.56,2022-02-23,,False
10032700,,IN44620,2023-01-05,Red Roofing Solutions,V_RED001,18283.99,2023-01-04,GBP,2228.84,2023-02-03,,True
10091462,2022-02-23,IN58268,2022-02-15,Yellow Yard Services,V_YELLOW001,3390.38,2022-02-13,USD,381.31,2022-03-15,Dr,False
10021394,2023-12-12,IN79092,2023-12-05,Red Roofing Solutions,V_RED001,18744.78,2023-12-01,GBP,1918.07,2023-12-31,Dr,True
10088840,2022-10-12,IN44695,2022-10-04,Blue Builders Inc.,V_BLUE001,3785.93,2022-10-02,EUR,643.51,2022-11-01,,False
10021064,2023-07-01,IN86848,2023-06-27,Orange Office Supplies,V_ORANGE001,4586.45,2023-06-26,USD,641.1,2023-07-26,Cr,False
10020265,2023-06-17,IN19705,2023-06-12,Red Roofing Solutions,V_RED001,4939.41,2023-06-11,CAD,311.95,2023-07-11,,False
10033331,2022-01-11,IN33004,2022-01-06,Red Roofing Solutions,V_RED001,3967.12,2022-01-02,EUR,437.41,2022-02-01,Cr,False
10018328,2023-07-05,IN25534,2023-06-27,Blue Builders Inc.,V_BLUE001,2933.57,2023-06-24,USD,415.28,2023-07-24,Dr,False
10098281,,IN76151,2022-08-10,Green Grocers Co.,V_GREEN001,5561.66,2022-08-06,GBP,635.18,2022-09-05,,False
10094518,2023-07-10,IN90158,2023-07-01,Blue Builders Inc.,V_BLUE001,8187.16,2023-06-30,EUR,699.7,2023-07-30,,False
10023180,2022-01-13,IN46931,2022-01-07,Orange Office Supplies,V_ORANGE001,4910.26,2022-01-04,GBP,574.03,2022-02-03,,False
10066556,2023-10-11,IN13343,2023-10-05,Yellow Yard Services,V_YELLOW001,19422.63,2023-10-03,USD,2415.85,2023-11-02,Cr,True
10027019,2023-09-16,IN93613,2023-09-13,Red Roofing Solutions,V_RED001,26051.99,2023-09-12,GBP,1924.38,2023-10-12,Cr,True
10097969,2022-10-02,IN11089,2022-10-01,Orange Office Supplies,V_ORANGE001,5644.0,2022-09-30,GBP,557.37,2022-10-30,,False
10012460,2023-12-11,IN82356,2023-12-09,Orange Office Supplies,V_ORANGE001,4247.8,2023-12-07,GBP,500.81,2024-01-06,,False
10074027,2023-02-19,IN67906,2023-02-15,Green Grocers Co.,V_GREEN001,15987.54,2023-02-12,GBP,2649.41,2023-03-14,Dr,True
10010869,2022-12-14,IN11014,2022-12-06,Blue Builders Inc.,V_BLUE001,4798.93,2022-12-04,CAD,138.9,2023-01-03,,False
10033483,2022-06-22,IN58555,2022-06-18,Yellow Yard Services,V_YELLOW001,16998.73,2022-06-16,USD,2473.72,2022-07-16,,True
10012023,2022-05-22,IN69796,2022-05-16,Yellow Yard Services,V_YELLOW001,3983.79,2022-05-12,EUR,600.76,2022-06-11,,False
10095711,,IN50860,2023-07-03,Purple Plumbers Limited,V_PURPLE001,5050.59,2023-07-02,EUR,782.46,2023-08-01,Cr,False
10015206,2023-06-05,IN95053,2023-05-29,Orange Office Supplies,V_ORANGE001,3033.37,2023-05-27,GBP,538.5,2023-06-26,Cr,False
10055095,2022-04-28,IN24270,2022-04-25,Green Grocers Co.,V_GREEN001,5138.27,2022-04-22,USD,452.52,2022-05-22,Dr,False
10012983,2023-02-11,IN30662,2023-02-09,Green Grocers Co.,V_GREEN001,12974.2,2023-02-06,GBP,2250.52,2023-03-08,Dr,True
10039327,2022-06-24,IN24209,2022-06-23,Blue Builders Inc.,V_BLUE001,4320.34,2022-06-20,CAD,634.21,2022-07-20,Dr,False
10049711,2023-08-09,IN21954,2023-08-01,Blue Builders Inc.,V_BLUE001,24101.23,2023-07-28,USD,1146.36,2023-08-27,,True
10037632,,IN75310,2023-09-19,Blue Builders Inc.,V_BLUE001,28910.82,2023-09-15,EUR,2295.14,2023-10-15,Cr,True
10025193,2022-05-02,IN54864,2022-04-23,Green Grocers Co.,V_GREEN001,8618.92,2022-04-21,CAD,617.69,2022-05-21,Cr,False
10081315,2023-10-14,IN87834,2023-10-11,Yellow Yard Services,V_YELLOW001,7135.34,2023-10-10,EUR,1807.23,2023-11-09,Cr,True
10051552,2022-01-13,IN66271,2022-01-11,Purple Plumbers Limited,V_PURPLE001,3073.68,2022-01-08,EUR,388.98,2022-02-07,Dr,False
10075532,2022-11-10,IN24635,2022-11-08,Blue Builders Inc.,V_BLUE001,6081.5,2022-11-07,CAD,418.22,2022-12-07,Dr,False
10081887,2023-09-22,IN69648,2023-09-17,Blue Builders Inc.,V_BLUE001,4409.93,2023-09-15,USD,385.64,2023-10-15,,False
10023780,2022-09-08,IN16589,2022-09-04,Purple Plumbers Limited,V_PURPLE001,5221.31,2022-09-03,USD,511.55,2022-10-03,Cr,False
10042088,2023-04-26,IN89650,2023-04-23,Blue Builders Inc.,V_BLUE001,2230.72,2023-04-19,CAD,360.57,2023-05-19,,False
10071868,2022-08-12,IN92263,2022-08-07,Purple Plumbers Limited,V_PURPLE001,4451.74,2022-08-03,CAD,477.31,2022-09-02,,False
10035230,,IN59262,2022-04-23,Orange Office Supplies,V_ORANGE001,2568.49,2022-04-21,EUR,395.33,2022-05-21,Cr,False
10094422,2022-11-04,IN60131,2022-10-29,Purple Plumbers Limited,V_PURPLE001,3127.59,2022-10-27,CAD,625.48,2022-11-26,Dr,False
10011016,2023-07-20,IN99789,2023-07-12,Blue Builders Inc.,V_BLUE001,23491.99,2023-07-10,CAD,1914.19,2023-08-09,Cr,True
10044959,2023-06-27,IN42328,2023-06-18,Purple Plumbers Limited,V_PURPLE001,5093.39,2023-06-15,CAD,378.13,2023-07-15,,False
10045081,,IN85242,2022-11-26,Purple Plumbers Limited,V_PURPLE001,5912.55,2022-11-23,CAD,578.65,2022-12-23,Cr,False
10012573,2022-06-13,IN88344,2022-06-11,Blue Builders Inc.,V_BLUE001,19900.55,2022-06-07,CAD,2166.82,2022-07-07,,True
10029503,2023-04-17,IN58456,2023-04-13,Green Grocers Co.,V_GREEN001,4840.11,2023-04-10,CAD,643.27,2023-05-10,Dr,False
10032588,2022-11-21,IN88976,2022-11-18,Blue Builders Inc.,V_BLUE001,7326.73,2022-11-14,EUR,175.04,2022-12-14,Cr,False
10027629,2023-01-06,IN18245,2023-01-05,Green Grocers Co.,V_GREEN001,3898.53,2023-01-01,GBP,898.63,2023-01-31,,False
10021136,2023-04-09,IN94739,2023-04-04,Yellow Yard Services,V_YELLOW001,6878.43,2023-04-01,GBP,524.19,2023-05-01,Cr,False
10047842,,IN23900,2022-07-07,Red Roofing Solutions,V_RED001,6388.1,2022-07-06,USD,504.77,2022-08-05,Cr,False
10072370,,IN57599,2023-12-25,Yellow Yard Services,V_YELLOW001,5269.44,2023-12-21,EUR,274.06,2024-01-20,Dr,False
10090357,,IN13262,2022-09-30,Red Roofing Solutions,V_RED001,5590.83,2022-09-27,EUR,487.78,2022-10-27,Dr,False
10065192,2023-12-12,IN11462,2023-12-05,Purple Plumbers Limited,V_PURPLE001,4152.53,2023-12-04,USD,563.48,2024-01-03,Cr,False
10098801,2022-04-09,IN35931,2022-03-31,Yellow Yard Services,V_YELLOW001,8771.66,2022-03-30,EUR,1560.81,2022-04-29,,True
10090249,2022-03-27,IN30043,2022-03-22,Orange Office Supplies,V_ORANGE001,6404.08,2022-03-18,CAD,616.54,2022-04-17,,False
10074200,2022-04-19,IN56619,2022-04-17,Blue Builders Inc.,V_BLUE001,6764.26,2022-04-15,GBP,239.9,2022-05-15,,False
10090409,2022-09-26,IN23016,2022-09-23,Red Roofing Solutions,V_RED001,4639.51,2022-09-22,EUR,249.52,2022-10-22,,False
10016910,,IN10206,2023-07-02,Green Grocers Co.,V_GREEN001,21634.23,2023-07-01,GBP,1959.44,2023-07-31,Dr,True
10024291,2023-11-06,IN56804,2023-10-31,Purple Plumbers Limited,V_PURPLE001,11311.35,2023-10-27,CAD,1026.06,2023-11-26,,True
10066058,2022-07-26,IN39299,2022-07-25,Blue Builders Inc.,V_BLUE001,5956.58,2022-07-23,USD,567.49,2022-08-22,,False
10074435,2023-06-08,IN50631,2023-06-04,Blue Builders Inc.,V_BLUE001,17968.63,2023-06-01,GBP,2130.26,2023-07-01,,True
10079035,2022-06-06,IN54458,2022-05-29,Yellow Yard Services,V_YELLOW001,5832.7,2022-05-27,USD,375.54,2022-06-26,,False
10078369,,IN80821,2023-08-08,Purple Plumbers Limited,V_PURPLE001,3829.68,2023-08-07,EUR,632.17,2023-09-06,,False
10037588,2022-09-14,IN72576,2022-09-06,Purple Plumbers Limited,V_PURPLE001,3659.09,2022-09-05,CAD,578.64,2022-10-05,Dr,False
10068643,2022-10-03,IN54900,2022-09-28,Orange Office Supplies,V_ORANGE001,6278.53,2022-09-25,GBP,397.32,2022-10-25,,False
10036423,2023-02-25,IN84707,2023-02-17,Blue Builders Inc.,V_BLUE001,4736.22,2023-02-16,EUR,749.22,2023-03-18,Dr,False
10035279,2023-07-07,IN36201,2023-07-03,Blue Builders Inc.,V_BLUE001,4124.88,2023-07-01,CAD,304.86,2023-07-31,Cr,False
10052487,2023-01-26,IN28051,2023-01-17,Yellow Yard Services,V_YELLOW001,4875.17,2023-01-16,USD,672.44,2023-02-15,,False
10076629,2022-12-09,IN90764,2022-12-08,Orange Office Supplies,V_ORANGE001,3575.86,2022-12-06,USD,715.21,2023-01-05,,False
10017008,,IN58291,2023-05-17,Yellow Yard Services,V_YELLOW001,2259.61,2023-05-13,EUR,641.54,2023-06-12,,False
10036819,2022-04-23,IN34217,2022-04-14,Red Roofing Solutions,V_RED001,3216.48,2022-04-12,EUR,461.71,2022-05-12,,False
10035765,2022-05-23,IN12340,2022-05-16,Orange Office Supplies,V_ORANGE001,5048.47,2022-05-13,USD,541.51,2022-06-12,,False
10057396,2024-01-09,IN44840,2023-12-31,Purple Plumbers Limited,V_PURPLE001,4679.16,2023-12-30,CAD,687.87,2024-01-29,,False
10076134,2023-12-24,IN53744,2023-12-22,Purple Plumbers Limited,V_PURPLE001,4772.05,2023-12-18,EUR,659.02,2024-01-17,Dr,False
10076985,2022-11-30,IN67608,2022-11-22,Purple Plumbers Limited,V_PURPLE001,4657.49,2022-11-21,GBP,592.97,2022-12-21,,False
10082013,,IN66652,2023-03-28,Yellow Yard Services,V_YELLOW001,6583.32,2023-03-27,USD,912.61,2023-04-26,,False
10071114,2023-10-18,IN80130,2023-10-17,Red Roofing Solutions,V_RED001,8674.19,2023-10-14,EUR,323.55,2023-11-13,Dr,False
10078876,2022-08-31,IN50644,2022-08-24,Purple Plumbers Limited,V_PURPLE001,5165.58,2022-08-20,USD,576.11,2022-09-19,,False
10030719,2023-08-19,IN57042,2023-08-15,Green Grocers Co.,V_GREEN001,2770.58,2023-08-13,GBP,630.37,2023-09-12,,False
10041831,2022-07-17,IN12176,2022-07-10,Blue Builders Inc.,V_BLUE001,8171.5,2022-07-06,GBP,356.99,2022-08-05,Dr,False
10036854,2022-12-12,IN74505,2022-12-11,Purple Plumbers Limited,V_PURPLE001,22910.61,2022-12-10,USD,2443.87,2023-01-09,Cr,True
10015704,2022-02-28,IN70576,2022-02-26,Orange Office Supplies,V_ORANGE001,16141.86,2022-02-22,USD,2148.31,2022-03-24,Dr,True
10032785,2022-03-09,IN88353,2022-03-02,Blue Builders Inc.,V_BLUE001,2142.89,2022-02-26,GBP,316.92,2022-03-28,,False
10094698,2022-07-14,IN25960,2022-07-12,Orange Office Supplies,V_ORANGE001,6998.28,2022-07-09,CAD,533.99,2022-08-08,Cr,False
10076727,2023-07-06,IN56216,2023-06-27,Blue Builders Inc.,V_BLUE001,3956.46,2023-06-26,EUR,362.28,2023-07-26,Cr,False
10032927,,IN76630,2023-12-25,Blue Builders Inc.,V_BLUE001,2021.81,2023-12-21,USD,408.5,2024-01-20,,False
10092896,2023-08-06,IN42813,2023-07-28,Red Roofing Solutions,V_RED001,4200.49,2023-07-27,EUR,531.75,2023-08-26,,False
10072636,,IN68806,2023-07-04,Purple Plumbers Limited,V_PURPLE001,1571.33,2023-06-30,GBP,382.61,2023-07-30,Cr,False
10095947,2023-12-03,IN53803,2023-11-24,Green Grocers Co.,V_GREEN001,6024.99,2023-11-22,USD,468.6,2023-12-22,,False
10016523,2022-01-06,IN96923,2022-01-04,Purple Plumbers Limited,V_PURPLE001,4854.3,2022-01-01,GBP,200.88,2022-01-31,,False
10082571,2023-01-20,IN87007,2023-01-11,Blue Builders Inc.,V_BLUE001,3754.8,2023-01-09,USD,644.41,2023-02-08,,False
10020748,2022-07-07,IN72785,2022-07-06,Yellow Yard Services,V_YELLOW001,3839.41,2022-07-03,GBP,730.71,2022-08-02,Dr,False
10010229,2022-08-02,IN58542,2022-07-31,Green Grocers Co.,V_GREEN001,4440.59,2022-07-29,EUR,777.25,2022-08-28,,False
10054387,2022-11-28,IN13089,2022-11-22,Red Roofing Solutions,V_RED001,5090.13,2022-11-18,CAD,558.25,2022-12-18,,False
10073749,,IN48672,2023-04-28,Orange Office Supplies,V_ORANGE001,7299.4,2023-04-24,CAD,504.91,2023-05-24,Dr,False
10021586,2022-05-25,IN60231,2022-05-23,Purple Plumbers Limited,V_PURPLE001,8349.79,2022-05-21,GBP,366.89,2022-06-20,Dr,False
10086298,2023-08-26,IN40133,2023-08-25,Yellow Yard Services,V_YELLOW001,3460.45,2023-08-24,USD,684.5,2023-09-23,Cr,False
10079922,2023-06-08,IN92839,2023-06-01,Red Roofing Solutions,V_RED001,7250.97,2023-05-31,GBP,636.25,2023-06-30,Dr,False
10091835,,IN40090,2023-10-10,Orange Office Supplies,V_ORANGE001,5507.73,2023-10-07,EUR,455.69,2023-11-06,Dr,False
10064319,2022-05-07,IN31639,2022-05-05,Red Roofing Solutions,V_RED001,5977.28,2022-05-02,USD,329.35,2022-06-01,Dr,False
10029569,2023-07-08,IN64437,2023-06-30,Blue Builders Inc.,V_BLUE001,6143.23,2023-06-28,GBP,431.95,2023-07-28,Dr,False
10017531,2022-11-02,IN47051,2022-10-24,Orange Office Supplies,V_ORANGE001,5149.86,2022-10-22,USD,521.89,2022-11-21,,False
10015408,2022-02-15,IN69379,2022-02-11,Green Grocers Co.,V_GREEN001,10663.24,2022-02-08,EUR,1617.6,2022-03-10,Dr,True
10089530,2022-11-09,IN33499,2022-10-31,Red Roofing Solutions,V_RED001,12220.51,2022-10-28,USD,1863.8,2022-11-27,,True
10092612,2023-02-13,IN76641,2023-02-09,Red Roofing Solutions,V_RED001,2442.95,2023-02-08,CAD,436.62,2023-03-10,,False
10023362,2022-08-25,IN76745,2022-08-23,Yellow Yard Services,V_YELLOW001,3962.92,2022-08-21,EUR,603.13,2022-09-20,Cr,False
10078752,2022-09-20,IN89803,2022-09-18,Purple Plumbers Limited,V_PURPLE001,6341.46,2022-09-14,EUR,529.72,2022-10-14,Cr,False
10062116,,IN72894,2023-04-17,Orange Office Supplies,V_ORANGE001,5338.64,2023-04-15,CAD,502.64,2023-05-15,,False
10046455,2022-09-04,IN96465,2022-08-28,Yellow Yard Services,V_YELLOW001,7392.1,2022-08-27,USD,404.17,2022-09-26,,False
10042966,2022-11-03,IN37777,2022-10-26,Yellow Yard Services,V_YELLOW001,4410.8,2022-10-25,EUR,295.56,2022-11-24,,False
10039377,2023-01-25,IN59573,2023-01-18,Orange Office Supplies,V_ORANGE001,6312.12,2023-01-17,EUR,551.44,2023-02-16,Cr,False
10015109,2022-08-03,IN59268,2022-07-28,Purple Plumbers Limited,V_PURPLE001,21874.89,2022-07-25,EUR,1621.3,2022-08-24,,True
10013412,2022-06-05,IN91976,2022-06-04,Orange Office Supplies,V_ORANGE001,6544.16,2022-06-01,GBP,449.47,2022-07-01,,False
10084704,2023-10-29,IN62874,2023-10-27,Orange Office Supplies,V_ORANGE001,4102.36,2023-10-23,CAD,534.29,2023-11-22,Dr,False
10071716,2023-03-05,IN99152,2023-03-03,Orange Office Supplies,V_ORANGE001,5391.23,2023-03-02,GBP,496.28,2023-04-01,,False
10096148,2022-05-16,IN55890,2022-05-14,Green Grocers Co.,V_GREEN001,6992.87,2022-05-11,GBP,285.32,2022-06-10,Cr,False
10054131,2022-10-08,IN70263,2022-10-01,Red Roofing Solutions,V_RED001,22369.3,2022-09-28,CAD,2684.23,2022-10-28,,True
10020578,2023-05-08,IN28624,2023-05-05,Green Grocers Co.,V_GREEN001,2723.19,2023-05-03,USD,446.45,2023-06-02,Dr,False
10048179,2022-11-16,IN11587,2022-11-14,Purple Plumbers Limited,V_PURPLE001,5665.61,2022-11-12,GBP,429.01,2022-12-12,Dr,False
10065934,2023-02-04,IN77334,2023-02-02,Yellow Yard Services,V_YELLOW001,5919.59,2023-02-01,CAD,370.79,2023-03-03,Cr,False
10026702,2023-04-28,IN11894,2023-04-27,Green Grocers Co.,V_GREEN001,4668.43,2023-04-25,EUR,362.4,2023-05-25,,False
10068754,2022-03-18,IN73580,2022-03-13,Green Grocers Co.,V_GREEN001,6179.91,2022-03-10,EUR,418.66,2022-04-09,Dr,False
10093597,2022-03-07,IN12881,2022-03-01,Purple Plumbers Limited,V_PURPLE001,6254.33,2022-02-27,CAD,474.03,2022-03-29,,False
10093948,,IN72671,2022-07-12,Purple Plumbers Limited,V_PURPLE001,6624.04,2022-07-10,CAD,429.33,2022-08-09,,False
10029201,2023-12-21,IN68576,2023-12-15,Orange Office Supplies,V_ORANGE001,14523.58,2023-12-13,GBP,2366.49,2024-01-12,Dr,True
10023507,2023-02-26,IN82595,2023-02-21,Green Grocers Co.,V_GREEN001,22690.11,2023-02-18,CAD,2023.98,2023-03-20,,True
10071576,,IN53919,2022-08-02,Green Grocers Co.,V_GREEN001,4297.35,2022-07-29,CAD,326.8,2022-08-28,,False
10014922,2023-05-03,IN14686,2023-04-29,Blue Builders Inc.,V_BLUE001,3962.94,2023-04-28,GBP,656.77,2023-05-28,Cr,False
10081051,2022-07-23,IN36627,2022-07-20,Purple Plumbers Limited,V_PURPLE001,5974.05,2022-07-19,GBP,621.68,2022-08-18,,False
10081736,2022-12-15,IN98913,2022-12-10,Purple Plumbers Limited,V_PURPLE001,6968.13,2022-12-07,GBP,640.42,2023-01-06,,False
10074077,2022-11-26,IN48258,2022-11-18,Green Grocers Co.,V_GREEN001,31282.42,2022-11-14,GBP,1713.21,2022-12-14,Dr,True
10096760,2022-09-29,IN28013,2022-09-26,Purple Plumbers Limited,V_PURPLE001,3400.95,2022-09-22,GBP,492.27,2022-10-22,Cr,False
10065099,2023-05-05,IN45262,2023-05-01,Yellow Yard Services,V_YELLOW001,24753.98,2023-04-27,EUR,305.79,2023-05-27,,True
10086112,2022-09-01,IN26566,2022-08-23,Purple Plumbers Limited,V_PURPLE001,5089.9,2022-08-21,GBP,541.61,2022-09-20,Dr,False
10090219,2022-01-17,IN88616,2022-01-12,Orange Office Supplies,V_ORANGE001,4404.33,2022-01-11,EUR,493.78,2022-02-10,,False
10086090,2023-08-22,IN27260,2023-08-20,Purple Plumbers Limited,V_PURPLE001,15621.91,2023-08-18,EUR,1308.6,2023-09-17,,True
10042793,2022-06-03,IN56473,2022-05-27,Green Grocers Co.,V_GREEN001,4691.41,2022-05-23,GBP,402.5,2022-06-22,,False
10015776,,IN46444,2023-06-10,Purple Plumbers Limited,V_PURPLE001,19589.24,2023-06-08,USD,2558.65,2023-07-08,,True
10091050,,IN95867,2022-09-15,Red Roofing Solutions,V_RED001,5090.48,2022-09-12,USD,301.51,2022-10-12,,False
10079855,2022-02-03,IN51743,2022-01-30,Yellow Yard Services,V_YELLOW001,4742.08,2022-01-27,EUR,474.55,2022-02-26,,False
10012642,2022-03-17,IN52137,2022-03-15,Green Grocers Co.,V_GREEN001,6284.68,2022-03-14,USD,764.53,2022-04-13,Dr,False
10022201,,IN39426,2022-04-29,Blue Builders Inc.,V_BLUE001,25393.4,2022-04-27,GBP,1980.75,2022-05-27,,True
10031097,2022-05-09,IN13092,2022-05-05,Red Roofing Solutions,V_RED001,2101.75,2022-05-04,CAD,398.68,2022-06-03,,False
10099080,,IN68535,2023-12-25,Orange Office Supplies,V_ORANGE001,3286.88,2023-12-24,CAD,504.34,2024-01-23,Dr,False
10084319,2024-01-09,IN58787,2023-12-31,Yellow Yard Services,V_YELLOW001,24699.24,2023-12-30,USD,2423.01,2024-01-29,Dr,True
10024414,2023-07-07,IN24327,2023-07-03,Orange Office Supplies,V_ORANGE001,3533.03,2023-07-01,USD,499.74,2023-07-31,,False
10052668,2023-03-29,IN23673,2023-03-23,Blue Builders Inc.,V_BLUE001,19280.77,2023-03-21,GBP,2398.1,2023-04-20,Cr,True
10012368,2023-11-23,IN87575,2023-11-16,Yellow Yard Services,V_YELLOW001,12242.83,2023-11-13,CAD,1744.75,2023-12-13,Dr,True
10030684,2023-08-04,IN67911,2023-07-29,Green Grocers Co.,V_GREEN001,4349.19,2023-07-28,GBP,758.32,2023-08-27,Cr,False
10049279,2022-09-25,IN33888,2022-09-19,Blue Builders Inc.,V_BLUE001,25928.52,2022-09-18,GBP,2359.48,2022-10-18,,True
10044485,2022-07-02,IN29456,2022-07-01,Purple Plumbers Limited,V_PURPLE001,4350.65,2022-06-29,CAD,547.17,2022-07-29,Dr,False
10015355,2023-06-03,IN56069,2023-06-02,Yellow Yard Services,V_YELLOW001,4386.31,2023-05-29,CAD,524.08,2023-06-28,Dr,False
10072438,2022-11-26,IN39371,2022-11-19,Blue Builders Inc.,V_BLUE001,28361.4,2022-11-16,EUR,2461.47,2022-12-16,Dr,True
10064213,2022-07-14,IN23026,2022-07-06,Green Grocers Co.,V_GREEN001,5436.45,2022-07-05,EUR,423.95,2022-08-04,Cr,False
10041890,2022-01-26,IN30022,2022-01-17,Red Roofing Solutions,V_RED001,23251.41,2022-01-14,EUR,2783.68,2022-02-13,Cr,True
10020526,2023-04-23,IN78910,2023-04-18,Blue Builders Inc.,V_BLUE001,24342.22,2023-04-16,USD,1101.99,2023-05-16,,True
10071228,2023-12-31,IN58984,2023-12-22,Yellow Yard Services,V_YELLOW001,23868.5,2023-12-21,GBP,1730.93,2024-01-20,,True
10082258,2022-11-20,IN50969,2022-11-16,Red Roofing Solutions,V_RED001,6992.76,2022-11-13,USD,344.55,2022-12-13,Dr,False
10049255,2023-05-20,IN73212,2023-05-19,Green Grocers Co.,V_GREEN001,3663.17,2023-05-18,GBP,490.72,2023-06-17,,False
10042254,2024-01-01,IN57362,2023-12-26,Orange Office Supplies,V_ORANGE001,21079.3,2023-12-25,USD,2854.5,2024-01-24,Dr,True
10075049,2022-09-23,IN39265,2022-09-14,Orange Office Supplies,V_ORANGE001,3678.27,2022-09-12,GBP,320.89,2022-10-12,,False
10021441,2022-11-24,IN24677,2022-11-15,Yellow Yard Services,V_YELLOW001,5226.85,2022-11-13,GBP,794.46,2022-12-13,Cr,False
10045292,,IN84813,2023-05-30,Red Roofing Solutions,V_RED001,3202.84,2023-05-29,USD,309.03,2023-06-28,Cr,False
10029975,2022-09-05,IN36723,2022-09-04,Blue Builders Inc.,V_BLUE001,22664.3,2022-09-03,CAD,1373.1,2022-10-03,,True
10014482,2023-04-15,IN82936,2023-04-13,Yellow Yard Services,V_YELLOW001,5160.59,2023-04-12,GBP,524.02,2023-05-12,Cr,False
10025037,2022-04-30,IN56738,2022-04-26,Blue Builders Inc.,V_BLUE001,4431.01,2022-04-25,EUR,329.2,2022-05-25,,False
